Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axi_ar_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_araddr[29:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arburst[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arcache[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arlen[7:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arlock[0:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arprot[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arqos[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arsize[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_aw_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awaddr[29:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awburst[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awcache[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awlen[7:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awlock[0:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awprot[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awqos[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awsize[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_b_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_bresp[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_r_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_rdata[255:0],design_1_i/system_ila_0/inst/net_slot_0_axi_rresp[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_wdata[255:0],design_1_i/system_ila_0/inst/net_slot_0_axi_wstrb[31:0],design_1_i/system_ila_0/inst/net_slot_0_axi_aw_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_awready,design_1_i/system_ila_0/inst/net_slot_0_axi_w_ctrl[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_wvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_wready,design_1_i/system_ila_0/inst/net_slot_0_axi_wlast,design_1_i/system_ila_0/inst/net_slot_0_axi_bvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_b_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_bready,design_1_i/system_ila_0/inst/net_slot_0_axi_arvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_ar_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arready,design_1_i/system_ila_0/inst/net_slot_0_axi_r_ctrl[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_rvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_rready,design_1_i/system_ila_0/inst/net_slot_0_axi_rlast,AR_Channel_(i1:s0)_(axi_smc_1_M00_AXI)[2:0],AW_Channel_(i1:s0)_(axi_smc_1_M00_AXI)[2:0],B_Channel_(i1:s0)_(axi_smc_1_M00_AXI)[2:0],Interface_(i1:s0)_(axi_smc_1_M00_AXI)[2:0],R_Channel_(i1:s0)_(axi_smc_1_M00_AXI)[2:0],W_Channel_(i1:s0)_(axi_smc_1_M00_AXI)[2:0],ila_1___slot_0___axi_smc_1_M00_AXI___Write_Transactions_0[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
1,1,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
2,2,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
3,3,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
4,4,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
5,5,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
6,6,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
7,7,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
8,8,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
9,9,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
10,10,0,0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,00000000,"INCR",3,1f,0,"Data Secure Unprivileged",0,"32 bytes",0,"OKAY",0,c832820a26b1a6045b5d101cfa3579ffecbb2d3622e516582b456b7b89f5f334,"OKAY",09262ca10df9bf9d9f14dc7c9fc947cbc034afd50b158c7817228936d3da8324,ffffffff,2,0,1,6,0,1,1,0,2,1,0,2,1,6,0,1,1,"No Read Addr Cmds","_","_","_","No Read Data Beats","_","_"
